model_family,c,class_weight,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.2,0.3,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.15,0.35,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.3,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.25,0.35,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.3,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.19999999999999998,0.4,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.35,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.3,0.39999999999999997,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.35,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.24999999999999997,0.44999999999999996,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.35,0.44999999999999996,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.29999999999999993,0.5,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.39999999999999997,0.49999999999999994,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.35,0.5499999999999999,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.44999999999999996,0.5499999999999999,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.3999999999999999,0.6,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.49999999999999994,0.6,0,0.0,1.0,0,92,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.44999999999999996,0.6499999999999999,2,0.021739130434782608,0.9782608695652174,0,90,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.5499999999999998,0.6499999999999999,2,0.021739130434782608,0.9782608695652174,0,90,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.4999999999999999,0.6999999999999998,4,0.043478260869565216,0.9565217391304348,0,88,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,72,18,0,2,0.8,0.972972972972973,0.0,0.4864864864864865,0.8780487804878049,0.9326424870466322,"[[0, 18], [2, 72]]","{'NON_SIF_POTENTIAL': 2, 'SIF_POTENTIAL': 90}",0.5999999999999999,0.7,4,0.043478260869565216,0.9565217391304348,0,88,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,72,18,0,2,0.8,0.972972972972973,0.0,0.4864864864864865,0.8780487804878049,0.9326424870466322,"[[0, 18], [2, 72]]","{'NON_SIF_POTENTIAL': 2, 'SIF_POTENTIAL': 90}",0.5499999999999999,0.7499999999999999,10,0.10869565217391304,0.8913043478260869,0,82,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7,72,16,2,2,0.8181818181818182,0.972972972972973,0.1111111111111111,0.5420420420420421,0.8888888888888888,0.9375,"[[2, 16], [2, 72]]","{'NON_SIF_POTENTIAL': 4, 'SIF_POTENTIAL': 88}",0.6499999999999999,0.75,8,0.08695652173913043,0.9130434782608695,2,82,2
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7,72,16,2,2,0.8181818181818182,0.972972972972973,0.1111111111111111,0.5420420420420421,0.8888888888888888,0.9375,"[[2, 16], [2, 72]]","{'NON_SIF_POTENTIAL': 4, 'SIF_POTENTIAL': 88}",0.6,0.7999999999999999,33,0.358695652173913,0.6413043478260869,0,59,0
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7499999999999999,68,14,4,6,0.8292682926829268,0.918918918918919,0.2222222222222222,0.5705705705705706,0.8717948717948718,0.8994708994708995,"[[4, 14], [6, 68]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 82}",0.6999999999999998,0.7999999999999999,29,0.31521739130434784,0.6847826086956522,4,59,2
tfidf,0.5,none,"[np.int64(0), np.int64(1)]",1,0.7499999999999999,68,14,4,6,0.8292682926829268,0.918918918918919,0.2222222222222222,0.5705705705705706,0.8717948717948718,0.8994708994708995,"[[4, 14], [6, 68]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 82}",0.6499999999999999,0.8499999999999999,64,0.6956521739130435,0.30434782608695654,2,26,2
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.2,0.3,0,0.0,1.0,0,92,0
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.25,74,18,0,0,0.8043478260869565,1.0,0.0,0.5,0.891566265060241,0.9536082474226806,"[[0, 18], [0, 74]]","{'NON_SIF_POTENTIAL': 0, 'SIF_POTENTIAL': 92}",0.15,0.35,2,0.021739130434782608,0.9782608695652174,0,90,0
