checkpoint,model_family,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.2,168,30,27,7,0.8484848484848485,0.96,0.47368421052631576,0.7168421052631578,0.900804289544236,0.9354120267260579,"[[27, 30], [7, 168]]","{'NON_SIF_POTENTIAL': 34, 'SIF_POTENTIAL': 198}",0.15000000000000002,0.25,10,0.04310344827586207,0.9568965517241379,29,193,5
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.2,168,30,27,7,0.8484848484848485,0.96,0.47368421052631576,0.7168421052631578,0.900804289544236,0.9354120267260579,"[[27, 30], [7, 168]]","{'NON_SIF_POTENTIAL': 34, 'SIF_POTENTIAL': 198}",0.1,0.30000000000000004,19,0.08189655172413793,0.9181034482758621,23,190,5
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.25,165,28,29,10,0.8549222797927462,0.9428571428571428,0.5087719298245614,0.7258145363408521,0.8967391304347826,0.923852183650616,"[[29, 28], [10, 165]]","{'NON_SIF_POTENTIAL': 39, 'SIF_POTENTIAL': 193}",0.2,0.3,8,0.034482758620689655,0.9655172413793104,34,190,7
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.25,165,28,29,10,0.8549222797927462,0.9428571428571428,0.5087719298245614,0.7258145363408521,0.8967391304347826,0.923852183650616,"[[29, 28], [10, 165]]","{'NON_SIF_POTENTIAL': 39, 'SIF_POTENTIAL': 193}",0.15,0.35,15,0.06465517241379311,0.9353448275862069,29,188,5
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.3,164,26,31,11,0.8631578947368421,0.9371428571428572,0.543859649122807,0.7405012531328321,0.8986301369863013,0.9213483146067416,"[[31, 26], [11, 164]]","{'NON_SIF_POTENTIAL': 42, 'SIF_POTENTIAL': 190}",0.25,0.35,5,0.021551724137931036,0.978448275862069,39,188,10
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.3,164,26,31,11,0.8631578947368421,0.9371428571428572,0.543859649122807,0.7405012531328321,0.8986301369863013,0.9213483146067416,"[[31, 26], [11, 164]]","{'NON_SIF_POTENTIAL': 42, 'SIF_POTENTIAL': 190}",0.19999999999999998,0.4,15,0.06465517241379311,0.9353448275862069,34,183,7
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.35,164,24,33,11,0.8723404255319149,0.9371428571428572,0.5789473684210527,0.758045112781955,0.9035812672176309,0.9234234234234237,"[[33, 24], [11, 164]]","{'NON_SIF_POTENTIAL': 44, 'SIF_POTENTIAL': 188}",0.3,0.39999999999999997,7,0.03017241379310345,0.9698275862068966,42,183,11
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.35,164,24,33,11,0.8723404255319149,0.9371428571428572,0.5789473684210527,0.758045112781955,0.9035812672176309,0.9234234234234237,"[[33, 24], [11, 164]]","{'NON_SIF_POTENTIAL': 44, 'SIF_POTENTIAL': 188}",0.24999999999999997,0.44999999999999996,11,0.04741379310344827,0.9525862068965517,39,182,10
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,160,23,34,15,0.8743169398907104,0.9142857142857143,0.5964912280701754,0.7553884711779448,0.8938547486033519,0.9060022650056625,"[[34, 23], [15, 160]]","{'NON_SIF_POTENTIAL': 49, 'SIF_POTENTIAL': 183}",0.35,0.44999999999999996,6,0.02586206896551724,0.9741379310344828,44,182,11
all_700_additions,setfit_finetuned_v0.4,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,160,23,34,15,0.8743169398907104,0.9142857142857143,0.5964912280701754,0.7553884711779448,0.8938547486033519,0.9060022650056625,"[[34, 23], [15, 160]]","{'NON_SIF_POTENTIAL': 49, 'SIF_POTENTIAL': 183}",0.29999999999999993,0.5,14,0.0603448275862069,0.9396551724137931,42,176,11
